date,geo,touchpoint_name,metric_value,spend
2023-01-01,DMA_001,TV_National,25.56,7775.12
2023-01-01,DMA_001,Search_Brand,444.56,2545.03
2023-01-01,DMA_001,Search_Generic,217.81,1672.27
2023-01-01,DMA_001,Facebook,13825.57,1829.18
2023-01-01,DMA_001,Instagram,7101.15,941.66
2023-01-01,DMA_001,YouTube,5140.72,1077.16
2023-01-01,DMA_001,Display,12360.87,748.36
2023-01-01,DMA_002,TV_National,21.61,6857.37
2023-01-01,DMA_002,Search_Brand,377.95,2441.72
2023-01-01,DMA_002,Search_Generic,215.37,1860.31
2023-01-01,DMA_002,Facebook,15147.01,2213.27
2023-01-01,DMA_002,Instagram,7781.24,1256.18
2023-01-01,DMA_002,YouTube,6621.7,1309.73
2023-01-01,DMA_002,Display,15520.0,747.39
2023-01-01,DMA_003,TV_National,31.21,9638.99
2023-01-01,DMA_003,Search_Brand,556.73,3083.98
2023-01-01,DMA_003,Search_Generic,303.04,2526.34
2023-01-01,DMA_003,Facebook,14786.01,2386.57
2023-01-01,DMA_003,Instagram,8946.61,1523.68
2023-01-01,DMA_003,YouTube,7051.4,1382.79
2023-01-01,DMA_003,Display,23973.9,1178.33
2023-01-01,DMA_004,TV_National,38.82,12003.14
2023-01-01,DMA_004,Search_Brand,437.01,3130.84
2023-01-01,DMA_004,Search_Generic,405.4,2735.47
2023-01-01,DMA_004,Facebook,15092.93,2571.84
2023-01-01,DMA_004,Instagram,12337.21,1795.02
2023-01-01,DMA_004,YouTube,9383.95,1765.43
2023-01-01,DMA_004,Display,31294.44,1425.58
2023-01-01,DMA_005,TV_National,39.55,12237.02
2023-01-01,DMA_005,Search_Brand,771.85,4667.41
2023-01-01,DMA_005,Search_Generic,405.71,3099.86
2023-01-01,DMA_005,Facebook,14603.33,2351.28
2023-01-01,DMA_005,Instagram,17954.69,2194.85
2023-01-01,DMA_005,YouTube,12143.05,2196.72
2023-01-01,DMA_005,Display,27473.7,1465.23
2023-01-01,DMA_006,TV_National,63.79,16409.93
2023-01-01,DMA_006,Search_Brand,867.81,4947.43
2023-01-01,DMA_006,Search_Generic,364.54,2518.34
2023-01-01,DMA_006,Facebook,21398.18,3149.67
2023-01-01,DMA_006,Instagram,12918.81,2206.33
2023-01-01,DMA_006,YouTube,12469.61,2406.43
2023-01-01,DMA_006,Display,36843.59,1940.17
2023-01-01,DMA_007,TV_National,48.33,15244.0
2023-01-01,DMA_007,Search_Brand,979.31,6317.58
2023-01-01,DMA_007,Search_Generic,535.42,3814.77
2023-01-01,DMA_007,Facebook,26933.16,3492.38
2023-01-01,DMA_007,Instagram,14990.04,2168.51
2023-01-01,DMA_007,YouTube,11213.84,2596.23
2023-01-01,DMA_007,Display,36933.93,1799.11
2023-01-01,DMA_008,TV_National,61.5,18889.39
2023-01-01,DMA_008,Search_Brand,702.51,4884.63
2023-01-01,DMA_008,Search_Generic,529.5,4302.99
2023-01-01,DMA_008,Facebook,26856.77,3684.75
2023-01-01,DMA_008,Instagram,25488.29,3506.6
2023-01-01,DMA_008,YouTube,15578.28,3138.94
2023-01-01,DMA_008,Display,28233.62,1415.43
2023-01-01,DMA_009,TV_National,88.39,20726.75
2023-01-01,DMA_009,Search_Brand,987.22,6385.96
2023-01-01,DMA_009,Search_Generic,581.76,4904.08
2023-01-01,DMA_009,Facebook,36799.33,4876.25
2023-01-01,DMA_009,Instagram,21117.6,3237.92
2023-01-01,DMA_009,YouTube,17627.87,4056.13
