date,geo,sales_value,sales_units
2023-01-01,DMA_001,27183.13,499
2023-01-01,DMA_002,31811.54,667
2023-01-01,DMA_003,36392.73,805
2023-01-01,DMA_004,42393.86,841
2023-01-01,DMA_005,47125.42,1043
2023-01-01,DMA_006,55479.02,1136
2023-01-01,DMA_007,65273.33,1262
2023-01-01,DMA_008,66986.34,1439
2023-01-01,DMA_009,68718.61,1498
2023-01-01,DMA_010,83806.22,1720
2023-01-02,DMA_001,22537.12,451
2023-01-02,DMA_002,29016.91,598
2023-01-02,DMA_003,34243.88,697
2023-01-02,DMA_004,41199.38,834
2023-01-02,DMA_005,43517.71,949
2023-01-02,DMA_006,50945.15,951
2023-01-02,DMA_007,52546.35,972
2023-01-02,DMA_008,60305.55,1176
2023-01-02,DMA_009,68280.98,1432
2023-01-02,DMA_010,67580.87,1381
2023-01-03,DMA_001,24461.06,531
2023-01-03,DMA_002,27262.02,570
2023-01-03,DMA_003,35278.78,647
2023-01-03,DMA_004,37023.16,694
2023-01-03,DMA_005,47876.0,972
2023-01-03,DMA_006,45448.35,944
2023-01-03,DMA_007,59780.88,1211
2023-01-03,DMA_008,54422.38,993
2023-01-03,DMA_009,65663.45,1248
2023-01-03,DMA_010,76465.49,1644
2023-01-04,DMA_001,23118.86,445
2023-01-04,DMA_002,27734.33,602
2023-01-04,DMA_003,32946.06,675
2023-01-04,DMA_004,38135.11,693
2023-01-04,DMA_005,41714.65,891
2023-01-04,DMA_006,48022.33,907
2023-01-04,DMA_007,56087.56,1042
2023-01-04,DMA_008,62616.67,1158
2023-01-04,DMA_009,67625.79,1282
2023-01-04,DMA_010,74878.56,1371
2023-01-05,DMA_001,24122.83,498
2023-01-05,DMA_002,29437.79,591
2023-01-05,DMA_003,31524.24,577
2023-01-05,DMA_004,38218.19,727
2023-01-05,DMA_005,44967.67,850
2023-01-05,DMA_006,51423.41,1088
2023-01-05,DMA_007,54751.35,1131
2023-01-05,DMA_008,60885.98,1109
2023-01-05,DMA_009,66819.96,1391
2023-01-05,DMA_010,74230.11,1608
2023-01-06,DMA_001,25137.93,512
2023-01-06,DMA_002,25811.89,490
2023-01-06,DMA_003,34450.45,690
2023-01-06,DMA_004,40689.49,781
2023-01-06,DMA_005,48358.27,964
2023-01-06,DMA_006,46589.57,995
2023-01-06,DMA_007,50877.85,1064
2023-01-06,DMA_008,58664.97,1299
2023-01-06,DMA_009,63476.18,1168
2023-01-06,DMA_010,72748.15,1371
2023-01-07,DMA_001,25826.9,531
2023-01-07,DMA_002,31272.41,577
2023-01-07,DMA_003,40790.78,901
2023-01-07,DMA_004,43494.54,954
2023-01-07,DMA_005,53446.95,1174
2023-01-07,DMA_006,56542.0,1184
2023-01-07,DMA_007,63285.73,1225
2023-01-07,DMA_008,56890.59,1243
2023-01-07,DMA_009,71210.82,1449
2023-01-07,DMA_010,80341.91,1679
2023-01-08,DMA_001,23781.45,456
2023-01-08,DMA_002,31737.95,620
2023-01-08,DMA_003,40199.75,853
2023-01-08,DMA_004,45520.94,898
2023-01-08,DMA_005,54476.42,1031
2023-01-08,DMA_006,57095.79,1057
2023-01-08,DMA_007,65562.94,1347
2023-01-08,DMA_008,62929.06,1264
2023-01-08,DMA_009,68485.39,1491
2023-01-08,DMA_010,85933.64,1692
2023-01-09,DMA_001,22933.82,424
2023-01-09,DMA_002,29893.7,588
2023-01-09,DMA_003,31492.05,640
2023-01-09,DMA_004,41141.59,805
2023-01-09,DMA_005,45314.7,878
2023-01-09,DMA_006,51660.92,947
2023-01-09,DMA_007,50946.81,1105
2023-01-09,DMA_008,59125.35,1078
2023-01-09,DMA_009,65218.54,1260
2023-01-09,DMA_010,79877.42,1653
2023-01-10,DMA_001,23909.61,445
2023-01-10,DMA_002,25588.23,468
2023-01-10,DMA_003,34862.51,752
2023-01-10,DMA_004,38355.77,826
2023-01-10,DMA_005,47109.18,983
2023-01-10,DMA_006,49319.36,947
2023-01-10,DMA_007,55346.06,1140
2023-01-10,DMA_008,61311.71,1338
2023-01-10,DMA_009,64044.99,1256
2023-01-10,DMA_010,74409.01,1647
2023-01-11,DMA_001,24271.09,526
2023-01-11,DMA_002,29133.98,574
2023-01-11,DMA_003,33415.92,717
2023-01-11,DMA_004,39617.86,867
2023-01-11,DMA_005,47935.95,1007
2023-01-11,DMA_006,43974.96,976
2023-01-11,DMA_007,53741.77,1116
2023-01-11,DMA_008,58438.46,1188
2023-01-11,DMA_009,68821.29,1418
2023-01-11,DMA_010,72885.88,1344
2023-01-12,DMA_001,22441.3,483
2023-01-12,DMA_002,26983.31,521
2023-01-12,DMA_003,34734.2,764
2023-01-12,DMA_004,36733.11,780
2023-01-12,DMA_005,47665.11,1023
2023-01-12,DMA_006,48741.12,1034
2023-01-12,DMA_007,58106.2,1148
2023-01-12,DMA_008,61460.51,1201
2023-01-12,DMA_009,62585.84,1162
2023-01-12,DMA_010,70704.57,1331
2023-01-13,DMA_001,24567.43,469
2023-01-13,DMA_002,27629.78,587
2023-01-13,DMA_003,34415.64,680
2023-01-13,DMA_004,37584.41,759
2023-01-13,DMA_005,47664.44,972
2023-01-13,DMA_006,47466.87,1052
2023-01-13,DMA_007,56198.3,1154
2023-01-13,DMA_008,59355.34,1307
2023-01-13,DMA_009,62368.2,1368
2023-01-13,DMA_010,73489.11,1386
2023-01-14,DMA_001,26520.49,575
2023-01-14,DMA_002,30134.22,578
2023-01-14,DMA_003,37739.55,709
2023-01-14,DMA_004,39163.98,792
2023-01-14,DMA_005,46765.86,911
2023-01-14,DMA_006,54451.7,1068
2023-01-14,DMA_007,63263.1,1301
2023-01-14,DMA_008,72084.33,1414
2023-01-14,DMA_009,75238.23,1553
2023-01-14,DMA_010,79520.78,1621
2023-01-15,DMA_001,26694.55,490
2023-01-15,DMA_002,31291.29,614
2023-01-15,DMA_003,40728.01,869
2023-01-15,DMA_004,42166.26,907
2023-01-15,DMA_005,47813.43,920
2023-01-15,DMA_006,60166.04,1136
2023-01-15,DMA_007,63257.04,1168
2023-01-15,DMA_008,66396.52,1444
2023-01-15,DMA_009,64496.32,1197
2023-01-15,DMA_010,87862.69,1804
2023-01-16,DMA_001,24335.46,481
2023-01-16,DMA_002,28167.32,552
2023-01-16,DMA_003,32323.7,646
2023-01-16,DMA_004,40874.95,764
2023-01-16,DMA_005,45477.49,878
2023-01-16,DMA_006,48845.42,1071
2023-01-16,DMA_007,55030.38,1002
2023-01-16,DMA_008,59382.02,1272
2023-01-16,DMA_009,58997.6,1214
2023-01-16,DMA_010,76041.82,1452
2023-01-17,DMA_001,22721.64,465
2023-01-17,DMA_002,26843.62,556
2023-01-17,DMA_003,33665.12,687
2023-01-17,DMA_004,39532.04,856
2023-01-17,DMA_005,45241.12,968
2023-01-17,DMA_006,47953.59,924
2023-01-17,DMA_007,59681.21,1285
2023-01-17,DMA_008,58797.31,1200
2023-01-17,DMA_009,58743.18,1159
2023-01-17,DMA_010,72011.01,1543
2023-01-18,DMA_001,22442.9,475
2023-01-18,DMA_002,29975.11,600
2023-01-18,DMA_003,33760.17,739
2023-01-18,DMA_004,43757.43,905
2023-01-18,DMA_005,45679.11,835
2023-01-18,DMA_006,48249.97,933
2023-01-18,DMA_007,52313.52,1085
2023-01-18,DMA_008,63036.52,1198
2023-01-18,DMA_009,68112.52,1288
2023-01-18,DMA_010,73598.1,1472
2023-01-19,DMA_001,24831.95,465
2023-01-19,DMA_002,27528.01,520
2023-01-19,DMA_003,35504.07,700
2023-01-19,DMA_004,40218.09,893
2023-01-19,DMA_005,46170.02,923
2023-01-19,DMA_006,50009.79,976
2023-01-19,DMA_007,51815.2,1128
2023-01-19,DMA_008,62668.19,1311
2023-01-19,DMA_009,65129.74,1227
2023-01-19,DMA_010,72371.14,1521
2023-01-20,DMA_001,22610.34,413
2023-01-20,DMA_002,29571.45,582
2023-01-20,DMA_003,31667.15,613
2023-01-20,DMA_004,35732.96,708
2023-01-20,DMA_005,42715.14,897
2023-01-20,DMA_006,53992.18,991
2023-01-20,DMA_007,56075.74,1038
2023-01-20,DMA_008,58770.42,1231
2023-01-20,DMA_009,70402.02,1309
2023-01-20,DMA_010,72146.5,1352
2023-01-21,DMA_001,25647.76,533
2023-01-21,DMA_002,32320.23,688
2023-01-21,DMA_003,38200.0,843
2023-01-21,DMA_004,43903.78,961
2023-01-21,DMA_005,49180.38,1060
2023-01-21,DMA_006,55627.44,1124
2023-01-21,DMA_007,58393.8,1153
2023-01-21,DMA_008,69231.29,1325
2023-01-21,DMA_009,70286.5,1535
2023-01-21,DMA_010,82949.56,1541
